,opponent_team,gw,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,team
24,Arsenal,25,2.8,11.4,16.2,4.4,Wolves
49,Aston Villa,25,4.2,17.4,19.0,5.0,Brighton
74,Bournemouth,25,4.0,21.6,26.1,5.4,Everton
99,Brentford,25,2.1,10.4,26.7,4.4,Arsenal
124,Brighton,25,3.2,15.2,16.3,6.3,Aston Villa
149,Chelsea,25,3.5,16.4,21.3,5.6,Leeds
174,Crystal Palace,25,1.7,8.7,18.1,7.0,Burnley
199,Everton,25,3.6,21.2,24.4,6.9,Bournemouth
224,Fulham,25,3.4,19.1,18.6,5.9,Man City
249,Ipswich,25,2.2,13.3,20.2,5.0,
274,Leicester,25,2.9,16.2,21.8,6.0,
299,Liverpool,25,3.0,14.8,17.7,5.4,Sunderland
324,Man City,25,2.6,13.0,18.3,3.9,Fulham
349,Man Utd,25,2.4,8.7,18.2,4.2,West Ham
374,Newcastle,25,4.7,21.3,21.0,6.0,Spurs
399,Nott'm Forest,25,3.8,17.6,22.0,4.3,Wolves
424,Southampton,25,4.9,18.3,17.5,7.3,
449,Spurs,25,3.8,17.3,22.3,7.4,Newcastle
474,West Ham,25,2.9,16.7,18.0,8.2,Man Utd
499,Wolves,25,5.2,20.5,22.3,5.2,Nott'm Forest
